FacilityName,RegionName,Year,Quarter,WaitTimeMinutes,DistanceToFacilityKM,PopulationCovered
Peter Lougheed Centre,NE,2024,Q4,51,3.15,1989
South Health Campus,SE,2024,Q3,146,2.82,1420
Foothills Medical Centre,NW,2024,Q2,46,13.73,1016
South Health Campus,SE,2024,Q3,95,6.34,1804
Peter Lougheed Centre,NE,2024,Q1,60,10.52,839
South Health Campus,SE,2024,Q3,89,7.13,1993
South Health Campus,SE,2024,Q2,121,10.49,923
Rockyview General Hospital,SW,2024,Q1,92,13.47,1671
Rockyview General Hospital,SW,2024,Q3,159,12.75,1416
Rockyview General Hospital,SW,2024,Q3,144,17.61,1389
Peter Lougheed Centre,NE,2024,Q2,143,0.72,1983
Foothills Medical Centre,NW,2024,Q3,76,11.05,1015
Rockyview General Hospital,SW,2024,Q1,67,5.23,1059
Rockyview General Hospital,SW,2024,Q4,155,4.74,1378
South Health Campus,SE,2024,Q2,57,12.52,1526
South Health Campus,SE,2024,Q3,43,1.52,1268
Rockyview General Hospital,SW,2024,Q3,65,6.88,1319
South Health Campus,SE,2024,Q2,153,5.74,1498
Peter Lougheed Centre,NE,2024,Q3,94,2.62,1854
Peter Lougheed Centre,NE,2024,Q3,163,8.31,1674
South Health Campus,SE,2024,Q1,67,5.12,1129
Foothills Medical Centre,NW,2024,Q1,31,5.32,1823
Peter Lougheed Centre,NE,2024,Q4,116,14.94,1875
Foothills Medical Centre,NW,2024,Q3,103,4.21,1649
Peter Lougheed Centre,NE,2024,Q4,81,8.11,740
Rockyview General Hospital,SW,2024,Q1,28,9.62,1106
Peter Lougheed Centre,NE,2024,Q3,80,0.5,1371
South Health Campus,SE,2024,Q4,147,13.61,1507
Peter Lougheed Centre,NE,2024,Q1,119,13.03,652
Foothills Medical Centre,NW,2024,Q2,100,7.89,1726
Foothills Medical Centre,NW,2024,Q1,23,1.72,1512
Rockyview General Hospital,SW,2024,Q1,82,7.47,1181
Rockyview General Hospital,SW,2024,Q3,150,13.15,1634
Foothills Medical Centre,NW,2024,Q2,164,8.68,817
South Health Campus,SE,2024,Q3,175,3.73,995
South Health Campus,SE,2024,Q2,106,6.94,1046
Foothills Medical Centre,NW,2024,Q2,140,6.56,897
Foothills Medical Centre,NW,2024,Q3,82,9.08,1288
Peter Lougheed Centre,NE,2024,Q1,13,16.41,1667
Rockyview General Hospital,SW,2024,Q2,172,14.14,1091
South Health Campus,SE,2024,Q2,50,11.47,1861
Foothills Medical Centre,NW,2024,Q3,97,11.47,1415
Rockyview General Hospital,SW,2024,Q4,91,5.79,1811
Peter Lougheed Centre,NE,2024,Q4,118,16.79,1210
South Health Campus,SE,2024,Q2,134,10.01,626
Rockyview General Hospital,SW,2024,Q3,88,1.9,1370
South Health Campus,SE,2024,Q1,62,11.63,1167
Peter Lougheed Centre,NE,2024,Q4,79,4.7,1727
Rockyview General Hospital,SW,2024,Q2,112,9.5,1024
South Health Campus,SE,2024,Q2,65,2.8,1127
Foothills Medical Centre,NW,2024,Q2,14,9.16,1426
Peter Lougheed Centre,NE,2024,Q2,83,17.63,1363
Rockyview General Hospital,SW,2024,Q1,103,10.04,1251
South Health Campus,SE,2024,Q2,127,14.07,1942
South Health Campus,SE,2024,Q2,20,9.99,733
Rockyview General Hospital,SW,2024,Q2,94,0.5,821
South Health Campus,SE,2024,Q3,12,3.7,1991
Peter Lougheed Centre,NE,2024,Q4,58,1.3,1648
South Health Campus,SE,2024,Q1,69,5.34,1147
South Health Campus,SE,2024,Q1,95,8.33,1081
Peter Lougheed Centre,NE,2024,Q4,176,2.17,699
Rockyview General Hospital,SW,2024,Q3,113,14.34,1779
Peter Lougheed Centre,NE,2024,Q2,134,15.3,944
South Health Campus,SE,2024,Q1,169,6.54,1181
Peter Lougheed Centre,NE,2024,Q3,86,14.36,895
South Health Campus,SE,2024,Q4,148,6.84,1758
South Health Campus,SE,2024,Q2,42,7.31,1585
Peter Lougheed Centre,NE,2024,Q2,95,8.42,785
South Health Campus,SE,2024,Q3,171,8.8,1877
Rockyview General Hospital,SW,2024,Q4,43,9.96,758
South Health Campus,SE,2024,Q1,44,6.69,968
South Health Campus,SE,2024,Q4,16,6.89,1522
Rockyview General Hospital,SW,2024,Q4,152,7.96,1246
Foothills Medical Centre,NW,2024,Q2,39,10.65,1838
Rockyview General Hospital,SW,2024,Q3,18,13.8,1884
Peter Lougheed Centre,NE,2024,Q3,37,2.92,1955
South Health Campus,SE,2024,Q2,140,1.69,755
Peter Lougheed Centre,NE,2024,Q4,78,16.63,1585
South Health Campus,SE,2024,Q1,99,8.09,1095
Rockyview General Hospital,SW,2024,Q1,110,17.2,994
Rockyview General Hospital,SW,2024,Q3,83,6.29,902
Rockyview General Hospital,SW,2024,Q4,117,8.73,652
South Health Campus,SE,2024,Q4,65,10.3,1835
Foothills Medical Centre,NW,2024,Q4,102,6.07,1152
Rockyview General Hospital,SW,2024,Q2,139,3.74,747
Peter Lougheed Centre,NE,2024,Q4,19,10.23,1429
Peter Lougheed Centre,NE,2024,Q1,105,6.26,1274
Foothills Medical Centre,NW,2024,Q4,51,6.41,909
Peter Lougheed Centre,NE,2024,Q1,85,0.5,1609
Rockyview General Hospital,SW,2024,Q2,176,11.98,1204
South Health Campus,SE,2024,Q3,143,1.82,1935
Rockyview General Hospital,SW,2024,Q1,119,15.03,702
Foothills Medical Centre,NW,2024,Q2,167,6.04,1235
South Health Campus,SE,2024,Q1,60,7.79,1077
Peter Lougheed Centre,NE,2024,Q2,97,3.67,1062
Foothills Medical Centre,NW,2024,Q3,25,0.5,1642
Rockyview General Hospital,SW,2024,Q3,91,2.41,1930
South Health Campus,SE,2024,Q2,99,9.81,942
South Health Campus,SE,2024,Q1,77,6.12,1981
Rockyview General Hospital,SW,2024,Q3,89,9.95,590
South Health Campus,SE,2024,Q2,158,12.42,1192
Foothills Medical Centre,NW,2024,Q2,82,17.78,1421
Peter Lougheed Centre,NE,2024,Q3,67,8.08,1963
South Health Campus,SE,2024,Q1,46,9.64,1219
Foothills Medical Centre,NW,2024,Q3,92,2.93,730
Foothills Medical Centre,NW,2024,Q3,172,12.33,779
South Health Campus,SE,2024,Q3,65,18.27,1792
Rockyview General Hospital,SW,2024,Q3,153,11.29,1040
Rockyview General Hospital,SW,2024,Q3,127,9.68,510
South Health Campus,SE,2024,Q2,139,7.96,1881
Peter Lougheed Centre,NE,2024,Q2,24,6.7,1986
Foothills Medical Centre,NW,2024,Q3,16,9.93,1471
Peter Lougheed Centre,NE,2024,Q1,162,15.07,1014
Peter Lougheed Centre,NE,2024,Q4,95,8.22,1632
South Health Campus,SE,2024,Q2,48,7.79,1208
Foothills Medical Centre,NW,2024,Q3,174,8.55,1465
Rockyview General Hospital,SW,2024,Q2,14,4.19,1477
Peter Lougheed Centre,NE,2024,Q1,65,10.87,1210
South Health Campus,SE,2024,Q4,82,2.75,1187
Rockyview General Hospital,SW,2024,Q3,156,13.76,1425
Peter Lougheed Centre,NE,2024,Q4,83,10.41,1369
Peter Lougheed Centre,NE,2024,Q2,89,7.19,1991
Foothills Medical Centre,NW,2024,Q2,73,6.19,516
South Health Campus,SE,2024,Q1,75,5.54,659
Foothills Medical Centre,NW,2024,Q3,87,15.39,536
Foothills Medical Centre,NW,2024,Q4,50,6.76,1607
Peter Lougheed Centre,NE,2024,Q2,136,4.77,1017
Rockyview General Hospital,SW,2024,Q2,142,9.22,1671
Foothills Medical Centre,NW,2024,Q4,18,12.52,738
South Health Campus,SE,2024,Q3,121,12.93,1415
Peter Lougheed Centre,NE,2024,Q1,37,6.88,1165
Foothills Medical Centre,NW,2024,Q3,109,13.54,1598
Rockyview General Hospital,SW,2024,Q4,62,9.61,1346
Peter Lougheed Centre,NE,2024,Q3,96,4.74,1521
Foothills Medical Centre,NW,2024,Q2,177,4.24,1881
South Health Campus,SE,2024,Q3,98,9.75,1137
South Health Campus,SE,2024,Q2,108,0.5,519
Peter Lougheed Centre,NE,2024,Q4,109,16.5,1465
Peter Lougheed Centre,NE,2024,Q2,46,8.66,1306
Peter Lougheed Centre,NE,2024,Q1,92,14.88,1999
Peter Lougheed Centre,NE,2024,Q3,164,5.89,1472
South Health Campus,SE,2024,Q2,97,8.03,1728
Peter Lougheed Centre,NE,2024,Q4,84,5.8,1739
Foothills Medical Centre,NW,2024,Q4,138,0.94,1367
Foothills Medical Centre,NW,2024,Q3,165,14.64,828
Peter Lougheed Centre,NE,2024,Q2,118,10.79,1693
Peter Lougheed Centre,NE,2024,Q1,152,6.78,1888
Foothills Medical Centre,NW,2024,Q4,10,6.45,912
Foothills Medical Centre,NW,2024,Q4,82,4.43,1307
Peter Lougheed Centre,NE,2024,Q3,174,7.75,969
Foothills Medical Centre,NW,2024,Q2,52,12.48,1647
South Health Campus,SE,2024,Q1,100,5.21,643
Foothills Medical Centre,NW,2024,Q1,106,1.06,899
Rockyview General Hospital,SW,2024,Q1,17,14.14,814
Foothills Medical Centre,NW,2024,Q4,73,8.28,1045
South Health Campus,SE,2024,Q1,155,11.8,1118
Foothills Medical Centre,NW,2024,Q1,51,10.13,1710
South Health Campus,SE,2024,Q3,77,6.73,863
Peter Lougheed Centre,NE,2024,Q4,132,4.45,1591
Peter Lougheed Centre,NE,2024,Q4,88,13.26,1355
Foothills Medical Centre,NW,2024,Q3,31,17.07,1848
Rockyview General Hospital,SW,2024,Q2,114,9.83,1647
Peter Lougheed Centre,NE,2024,Q3,78,9.48,891
Foothills Medical Centre,NW,2024,Q3,11,9.91,1168
Peter Lougheed Centre,NE,2024,Q2,19,0.5,1886
Foothills Medical Centre,NW,2024,Q4,11,0.5,1557
Peter Lougheed Centre,NE,2024,Q1,177,10.41,1108
Peter Lougheed Centre,NE,2024,Q1,51,8.67,615
Foothills Medical Centre,NW,2024,Q3,139,9.02,763
Foothills Medical Centre,NW,2024,Q2,65,6.32,1853
Rockyview General Hospital,SW,2024,Q3,71,11.71,1981
South Health Campus,SE,2024,Q4,71,15.46,535
Rockyview General Hospital,SW,2024,Q3,96,7.71,518
Peter Lougheed Centre,NE,2024,Q1,72,10.84,871
South Health Campus,SE,2024,Q2,122,9.67,941
Rockyview General Hospital,SW,2024,Q2,24,6.48,1424
Foothills Medical Centre,NW,2024,Q1,125,13.22,579
Peter Lougheed Centre,NE,2024,Q2,157,0.5,1272
Foothills Medical Centre,NW,2024,Q1,107,9.31,1517
Foothills Medical Centre,NW,2024,Q2,65,1.81,1472
Peter Lougheed Centre,NE,2024,Q4,64,12.13,1020
Foothills Medical Centre,NW,2024,Q1,117,4.77,1769
Rockyview General Hospital,SW,2024,Q2,32,6.77,674
Foothills Medical Centre,NW,2024,Q1,11,6.46,1525
Peter Lougheed Centre,NE,2024,Q2,94,6.18,1502
Foothills Medical Centre,NW,2024,Q2,20,12.86,1058
Foothills Medical Centre,NW,2024,Q2,106,7.04,1219
Peter Lougheed Centre,NE,2024,Q1,80,9.64,1907
Foothills Medical Centre,NW,2024,Q3,117,12.29,745
Peter Lougheed Centre,NE,2024,Q3,149,11,1541
Rockyview General Hospital,SW,2024,Q3,172,14.43,861
South Health Campus,SE,2024,Q3,60,14,1337
Rockyview General Hospital,SW,2024,Q3,12,10.66,1444
South Health Campus,SE,2024,Q2,162,8.37,1215
South Health Campus,SE,2024,Q1,158,0.52,1832
Peter Lougheed Centre,NE,2024,Q2,163,5.57,798
Rockyview General Hospital,SW,2024,Q2,81,4.62,814
South Health Campus,SE,2024,Q1,11,9.68,1417
South Health Campus,SE,2024,Q4,169,9.89,1798
Foothills Medical Centre,NW,2024,Q3,134,5,1002
Foothills Medical Centre,NW,2024,Q3,30,8.41,1102
Peter Lougheed Centre,NE,2024,Q3,126,3.04,1352
Peter Lougheed Centre,NE,2024,Q4,29,5.65,1752
South Health Campus,SE,2024,Q4,67,11.21,1201
Foothills Medical Centre,NW,2024,Q4,20,3.86,1611
Foothills Medical Centre,NW,2024,Q3,81,4.45,1772
Foothills Medical Centre,NW,2024,Q3,36,2.85,1560
Peter Lougheed Centre,NE,2024,Q4,11,12.69,542
Foothills Medical Centre,NW,2024,Q3,149,2.51,1200
Peter Lougheed Centre,NE,2024,Q1,13,6.52,1981
Peter Lougheed Centre,NE,2024,Q3,40,0.5,1670
South Health Campus,SE,2024,Q4,38,10.46,1387
South Health Campus,SE,2024,Q3,41,3.71,985
Rockyview General Hospital,SW,2024,Q2,16,16.6,1308
Foothills Medical Centre,NW,2024,Q3,176,2.19,913
Rockyview General Hospital,SW,2024,Q4,157,4.51,1848
South Health Campus,SE,2024,Q1,144,9.72,1711
South Health Campus,SE,2024,Q4,132,15.56,864
Rockyview General Hospital,SW,2024,Q1,30,4.67,603
Foothills Medical Centre,NW,2024,Q2,111,5.33,1006
Peter Lougheed Centre,NE,2024,Q4,81,0.93,1364
South Health Campus,SE,2024,Q3,94,13.04,620
South Health Campus,SE,2024,Q2,38,12.21,569
South Health Campus,SE,2024,Q4,176,4.24,1330
Peter Lougheed Centre,NE,2024,Q2,177,6.3,1341
Rockyview General Hospital,SW,2024,Q2,159,6.47,1127
Rockyview General Hospital,SW,2024,Q1,48,9.25,686
Foothills Medical Centre,NW,2024,Q3,127,8.86,651
South Health Campus,SE,2024,Q3,94,11.04,1189
Foothills Medical Centre,NW,2024,Q1,46,8.78,1547
Foothills Medical Centre,NW,2024,Q2,16,10.72,624
Foothills Medical Centre,NW,2024,Q1,177,1.94,520
South Health Campus,SE,2024,Q3,32,7.29,1062
Rockyview General Hospital,SW,2024,Q2,44,8.35,1321
Rockyview General Hospital,SW,2024,Q2,110,0.51,556
Rockyview General Hospital,SW,2024,Q4,69,7.51,1280
Peter Lougheed Centre,NE,2024,Q1,134,5.52,1189
Foothills Medical Centre,NW,2024,Q3,113,11.72,1311
Rockyview General Hospital,SW,2024,Q3,42,7.41,1394
Peter Lougheed Centre,NE,2024,Q2,121,7.86,1193
Rockyview General Hospital,SW,2024,Q1,74,4.51,1867
Foothills Medical Centre,NW,2024,Q4,122,0.5,661
South Health Campus,SE,2024,Q3,44,11.75,1967
South Health Campus,SE,2024,Q2,67,11.93,1223
Rockyview General Hospital,SW,2024,Q1,70,7.06,1359
Rockyview General Hospital,SW,2024,Q1,136,9.8,1690
Foothills Medical Centre,NW,2024,Q2,48,9.82,1613
Rockyview General Hospital,SW,2024,Q4,14,7.47,572
Peter Lougheed Centre,NE,2024,Q1,136,7.28,521
Peter Lougheed Centre,NE,2024,Q4,67,7.64,860
Peter Lougheed Centre,NE,2024,Q4,124,11.85,1047
Rockyview General Hospital,SW,2024,Q2,160,5.79,1622
South Health Campus,SE,2024,Q4,159,13.77,1602
Rockyview General Hospital,SW,2024,Q2,35,11.29,851
Rockyview General Hospital,SW,2024,Q1,162,4.97,900
South Health Campus,SE,2024,Q1,13,4.24,1642
South Health Campus,SE,2024,Q4,55,2.92,631
South Health Campus,SE,2024,Q3,49,15.3,591
South Health Campus,SE,2024,Q1,131,3.2,1339
South Health Campus,SE,2024,Q2,156,9.17,745
South Health Campus,SE,2024,Q4,119,8.99,787
Peter Lougheed Centre,NE,2024,Q3,110,6.05,1857
Rockyview General Hospital,SW,2024,Q4,55,10.08,920
South Health Campus,SE,2024,Q3,11,5.09,607
Foothills Medical Centre,NW,2024,Q3,20,19.76,1148
Foothills Medical Centre,NW,2024,Q1,46,2.59,899
Foothills Medical Centre,NW,2024,Q2,88,0.55,1288
Rockyview General Hospital,SW,2024,Q1,120,6.76,901
Rockyview General Hospital,SW,2024,Q1,82,2.93,768
South Health Campus,SE,2024,Q3,76,8.49,1300
Rockyview General Hospital,SW,2024,Q3,103,8.17,813
South Health Campus,SE,2024,Q3,150,0.5,676
Peter Lougheed Centre,NE,2024,Q4,75,10.07,505
Rockyview General Hospital,SW,2024,Q4,58,15.25,1556
Foothills Medical Centre,NW,2024,Q1,52,2.06,1020
Rockyview General Hospital,SW,2024,Q4,149,1.95,957
South Health Campus,SE,2024,Q1,82,8.73,1343
Rockyview General Hospital,SW,2024,Q3,36,10.61,1161
South Health Campus,SE,2024,Q2,143,11.98,780
Foothills Medical Centre,NW,2024,Q1,53,9.83,974
Rockyview General Hospital,SW,2024,Q4,97,13.44,572
Rockyview General Hospital,SW,2024,Q2,157,8.18,988
Peter Lougheed Centre,NE,2024,Q2,42,10.84,638
Foothills Medical Centre,NW,2024,Q2,67,3.52,1052
Foothills Medical Centre,NW,2024,Q2,155,8.41,1051
South Health Campus,SE,2024,Q4,12,4.87,1488
Rockyview General Hospital,SW,2024,Q1,152,10.99,1973
